School ID,School Short Name,School Name,Street Address,City,State,ZIP,Phone Number,Website,Managed By Network,Geographic Network,School Track,Overall Rating,On Probation,Years on Probation,NWEA or Scantron,Growth Overall Level,Growth Overall Reading and Math,Reading Growth Grade 3,Reading Growth Grade 4,Reading Growth Grade 5,Reading Growth Grade 6,Reading Growth Grade 7,Reading Growth Grade 8,Reading Growth All Grades,Math Growth Grade 3,Math Growth Grade 4,Math Growth Grade 5,Math Growth Grade 6,Math Growth Grade 7,Math Growth Grade 8,Math Growth All Grades,Student Performance Level,Student Performance Reading and Math,Reading Performance Grade 3,Reading Performance Grade 4,Reading Performance Grade 5,Reading Performance Grade 6,Reading Performance Grade 7,Reading Performance Grade 8,Reading Performance All Grades,Math Performance Grade 3,Math Performance Grade 4,Math Performance Grade 5,Math Performance Grade 6,Math Performance Grade 7,Math Performance Grade 8,Math Performance All Grades,Reading Growth African American,Reading Growth Hispanic,Reading Growth White,Reading Growth Students with Disabilities,Reading Growth English Language Learners,Reading Growth Free and Reduced Lunch,Math Growth African American,Math Growth Hispanic,Math Growth White,Math Growth Students with Disabilities,Math Growth English Language Learners,Math Growth Free and Reduced  Lunch,Overall Foundation,Involved Families,Supportive Environment,Ambitious Instruction,Effective Leaders,Collaborative Teachers,Safety,Misconducts Resulting in Suspensions 2011 - Percent,Misconducts Resulting in Suspensions 2012 - Percent,Average Days of Suspension 2011,Average Days of Suspension 2012,Student Attendance 2011 - Percent,Student Attendance 2012 - Percent,Teacher Attendance 2011 - Percent,Teacher Attendance 2012 - Percent,Healthy School Certified,Blue Ribbon Award,Blue Ribbon Award Year,X Coordinate,Y Coordinate,Latitude,Longitude,Location
610132,Poe,Edgar Allan Poe Elementary Classical School,10538 S Langley Ave,Chicago,IL,60628,(773) 535-5525,http://www.poe.cps.k12.il.us,Lake Calumet Elementary Network,Lake Calumet Elementary Network,Standard,Level 1,No,0,NWEA,Above Average,68.5%,74.1%,66.7%,75%,51.7%,,,66.7%,85.2%,59.3%,85.7%,51.7%,,,70.3%,Far Above Average,91.4%,92.6%,92.6%,89.3%,93.1%,,,91.9%,92.6%,85.2%,89.3%,96.6%,,,91%,67%,,,,,75%,68.9%,,,,,71.7%,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,,,,,97.6%,98%,97.2%,96.2%,Yes,No,,1182742.5046684314,1835063.9002474514,-87.60645552,41.70261965,"(-87.60645552, 41.70261965)"
610133,"Ward, L",Laura S Ward Elementary School,410 N Monticello Ave,Chicago,IL,60624,(773) 534-6440,http://www.lsward.cps.k12.il.us,Garfield-Humboldt Elementary Network,Garfield-Humboldt Elementary Network,Track E,Level 2,No,0,Scantron,Far Above Average,75.2%,60.5%,59.5%,80.6%,62.9%,88.9%,90.2%,74%,88.1%,65.9%,79.4%,66.7%,75%,82.9%,76.6%,Average,54.8%,39.1%,31.1%,48.7%,34.9%,72.9%,52.2%,46.8%,52.2%,55.6%,69.2%,59%,80.4%,62.2%,63.1%,73.7%,,,,,74%,76.9%,,,,,76.6%,Organized,Not Enough Data,Very Strong,Very Strong,Not Enough Data,Not Enough Data,Strong,51.7%,71.4%,4.5,2.7,92.9%,94.4%,97.5%,97.5%,No,No,,1151927.18789721,1902542.7872778259,-87.71752405,41.88845002,"(-87.71752405, 41.88845002)"
610134,Pope,Nathaniel Pope Elementary School,1852 S Albany Ave,Chicago,IL,60623,(773) 534-1795,http://www.pope.cps.k12.il.us,Austin-North Lawndale Elementary Network,Austin-North Lawndale Elementary Network,Track E,Level 3,Yes,6,Scantron,Above Average,68.8%,68.2%,78.9%,75%,73.3%,75%,76%,74.3%,60%,65%,73.3%,66.7%,62.5%,56%,63.1%,Below Average,37.4%,25%,40%,50%,41.2%,50%,36%,39%,27.3%,23.8%,43.8%,35.3%,50%,40%,35.9%,74.3%,,,,,74.3%,62.1%,,,,,63.1%,Organized,Neutral,Strong,Strong,Neutral,Neutral,Neutral,85.6%,47.6%,2,2,91.6%,92.1%,95.8%,95.6%,No,No,,1155971.8718945934,1890640.0683450024,-87.70299144,41.85570712,"(-87.70299144, 41.85570712)"
610135,Portage Park,Portage Park Elementary School,5330 W Berteau Ave,Chicago,IL,60641,(773) 534-3576,http://www.portage.cps.k12.il.us,O'Hare Elementary Network,O'Hare Elementary Network,Standard,Level 2,No,0,Scantron,Average,52.7%,60.9%,53.9%,51.1%,58%,52.6%,59.1%,56.1%,49.6%,65.2%,39.6%,40.2%,52.6%,45.2%,49.4%,Average,51.1%,48.7%,36.5%,45.2%,49.4%,55.1%,62.4%,49.6%,40.9%,56.5%,49.5%,49.4%,59.2%,59.8%,52.6%,,53%,61.1%,28.6%,64.4%,56.8%,,43%,56.1%,45.2%,50%,47.9%,Partially Organized,Not Enough Data,Neutral,Weak,Not Enough Data,Not Enough Data,Neutral,85.4%,68.7%,2.4,2.9,94.2%,94.1%,95.9%,96.1%,No,No,,1139920.8151285641,1927445.9964561893,-87.76100593,41.9570151,"(-87.76100593, 41.9570151)"
610136,Prescott,William H Prescott Elementary School,1632 W Wrightwood Ave,Chicago,IL,60614,(773) 534-5505,http://www.prescott.cps.k12.il.us,Fullerton Elementary Network,Fullerton Elementary Network,Track E,Level 1,No,0,Scantron,Above Average,62.7%,,41.7%,61.1%,50%,68.8%,53.3%,57.3%,100%,83.3%,50%,75%,43.8%,73.3%,67.9%,Below Average,41.3%,41.7%,53.8%,16.7%,33.3%,50%,6.7%,32.6%,66.7%,46.2%,16.7%,66.7%,62.5%,53.3%,50%,,54.9%,,,,53.5%,,71.2%,,,,64.4%,Well-organized,Very Strong,Strong,Neutral,Very Strong,Strong,Very Strong,23.5%,8.3%,1.6,2.2,93.5%,94.9%,97.6%,96.5%,Pending,No,,1164875.3422286762,1917368.6080109016,-87.66955245,41.92886824,"(-87.66955245, 41.92886824)"
610137,Prussing,Ernst Prussing Elementary School,4650 N Menard Ave,Chicago,IL,60630,(773) 534-3460,http://prussingelementary.org,O'Hare Elementary Network,O'Hare Elementary Network,Standard,Level 1,No,0,NWEA,Above Average,66.3%,72.5%,67.7%,71.4%,70.4%,63%,63.6%,67.7%,79.6%,58.2%,78%,64.2%,52.7%,62.7%,65%,Above Average,60.4%,53.7%,63.9%,61.9%,63.2%,60.3%,66.2%,61.8%,74.5%,56.8%,56.3%,71.9%,48.1%,53.5%,59%,,66.2%,68.5%,61.8%,66%,67.9%,,60.1%,67%,55%,77.6%,63.7%,Moderately Organized,Not Enough Data,Neutral,Neutral,Not Enough Data,Not Enough Data,Neutral,47.4%,17.6%,2.3,2.3,95.4%,95%,96%,96.3%,No,No,,1136787.3810594287,1930557.6220647853,-87.77245066,41.96561054,"(-87.77245066, 41.96561054)"
610138,Pulaski,Pulaski International School of Chicago,2230 W McLean Ave,Chicago,IL,60647,(773) 534-4391,http://www.pulaskischool.org,Fullerton Elementary Network,Fullerton Elementary Network,Standard,Level 1,No,0,Scantron,Above Average,63.4%,80.2%,50%,44.4%,70.3%,64.9%,70%,63.7%,74.1%,63.2%,50.8%,62.2%,47.2%,76.9%,63.1%,Average,53.8%,56.1%,48.4%,36.9%,50%,51.9%,57.8%,50.6%,56.6%,57.1%,56.7%,48%,60.5%,62.2%,57%,,62.9%,,62.5%,69.4%,63.1%,,63.3%,,81.3%,71.9%,62.9%,Moderately Organized,Neutral,Neutral,Neutral,Neutral,Neutral,Strong,57.1%,21.3%,2.1,4.3,96.1%,95.2%,96.2%,96.8%,Yes,No,,1161026.7526141093,1913565.7188151726,-87.68380061,41.91851374,"(-87.68380061, 41.91851374)"
610139,Pullman,George M Pullman Elementary School,11311 S Forrestville Ave,Chicago,IL,60628,(773) 535-5395,,Lake Calumet Elementary Network,Lake Calumet Elementary Network,Standard,Level 2,No,0,Scantron,Far Above Average,86.4%,90.5%,69.2%,70%,92.9%,95%,92.3%,85.1%,81%,92.9%,90%,86.7%,95%,80%,87.6%,Above Average,64.6%,65.4%,40%,40%,82.4%,70%,68.8%,61.4%,73.1%,80%,65%,50%,80%,56.3%,67.8%,85.2%,,,,,85.6%,85.9%,,,,,87.1%,Organized,Neutral,Neutral,Strong,Strong,Neutral,Neutral,85.4%,58%,2.3,2.3,93.5%,90.7%,96.2%,95.1%,No,No,,1181982.4594825332,1830019.8498134415,-87.60939383,41.68879566,"(-87.60939383, 41.68879566)"
610141,Ravenswood,Ravenswood Elementary School,4332 N Paulina St,Chicago,IL,60613,(773) 534-5525,http://www.ravenswoodelementary.org,Ravenswood-Ridge Elementary Network,Ravenswood-Ridge Elementary Network,Standard,Level 1,No,0,NWEA,Far Above Average,70.7%,78.6%,80.6%,72.2%,77.8%,65.4%,34.6%,68.6%,82.9%,82.4%,88.9%,55.2%,59.3%,69%,72.7%,Average,53.6%,71.4%,46.9%,50%,42.9%,64.3%,48.1%,54%,77.1%,60%,72.2%,30%,31%,50%,53.1%,,67.1%,86.1%,,,67%,51.4%,76.5%,86.1%,,,71.1%,Well-organized,Strong,Neutral,Neutral,Strong,Strong,Strong,76.3%,39.6%,2.9,1.9,94.9%,94.7%,95.7%,96.9%,No,No,,1164402.8265782082,1928980.278107846,-87.67095905,41.96074129,"(-87.67095905, 41.96074129)"
610142,Ray,William H Ray Elementary School,5631 S Kimbark Ave,Chicago,IL,60637,(773) 535-0970,http://www.ray.cps.k12.il.us,Burnham Park Elementary Network,Burnham Park Elementary Network,Standard,Level 2,No,0,NWEA,Above Average,58.8%,68.1%,48.6%,58.2%,69.2%,,,60.8%,64.9%,48.6%,57.8%,55.7%,,,56.8%,Average,53.4%,63%,54.5%,52.1%,55.2%,,,56.2%,66.2%,54.5%,44.3%,33.3%,,,50.5%,53.1%,,68.3%,48.9%,,60%,52.5%,,61.9%,62.5%,,53.5%,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,64.6%,40%,1.7,1.8,95.1%,93.5%,94.9%,97%,No,No,,1185667.7795023294,1867788.013325608,-87.59471544,41.79234967,"(-87.59471544, 41.79234967)"
610143,Reavis,William C Reavis Math & Science Specialty ES,834 E 50th St,Chicago,IL,60615,(773) 535-1060,,Burnham Park Elementary Network,Burnham Park Elementary Network,Standard,Level 3,Yes,5,Scantron,Below Average,44.3%,45.8%,29.6%,60%,52.2%,34.6%,50%,45.4%,55.6%,45.2%,32.3%,58.3%,32%,37.5%,43.2%,Far Below Average,25.5%,25.8%,23.3%,41.9%,20%,29.6%,18.5%,26.9%,16.7%,24.2%,25%,28.6%,35.7%,14.8%,24.2%,45.3%,,,,,45.3%,43.1%,,,,,43%,Partially Organized,Not Enough Data,Weak,Very Weak,Not Enough Data,Not Enough Data,Weak,68.5%,59.3%,2.9,2.7,93.5%,93.1%,94.8%,94.2%,Pending,No,,1182841.8039352736,1872082.771771734,-87.6049443,41.80420101,"(-87.6049443, 41.80420101)"
610312,McDowell,Mary E McDowell Elementary School,1419 E 89th St,Chicago,IL,60619,(773) 535-6404,http://www.mcdowell.cps.k12.il.us,Skyway Elementary Network,Skyway Elementary Network,Track E,Level 1,No,0,NWEA,Above Average,67.1%,51.7%,50%,62.1%,,,,54.9%,86.2%,87.5%,65.5%,,,,79.3%,Average,50.3%,55.2%,34.5%,59.4%,,,,50%,65.5%,34.5%,51.6%,,,,50.6%,55.3%,,,,,56.6%,77.6%,,,,,78.9%,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,,66.7%,,1.8,95.5%,95.7%,96.1%,95.5%,Pending,No,,1187249.1410758446,1846211.6290812704,-87.58960096,41.7331047,"(-87.58960096, 41.7331047)"
610144,Reilly,Frank W Reilly Elementary School,3650 W School St,Chicago,IL,60618,(773) 534-5250,http://www.reilly.cps.k12.il.us,Fullerton Elementary Network,Fullerton Elementary Network,Standard,Level 2,No,0,Scantron,Above Average,59.2%,49.4%,53.4%,52.5%,51.5%,47.8%,70.3%,54.1%,64.4%,75.5%,56%,64.4%,49.4%,75.6%,64.3%,Average,45.4%,29.6%,26.9%,35.9%,34.9%,35.8%,53.2%,35.7%,39.1%,53.8%,48%,64.8%,58.9%,69.9%,55.2%,,55.1%,55.9%,36.5%,51.5%,53.6%,,63.5%,73.5%,53.1%,59.2%,63.5%,Partially Organized,Neutral,Weak,Neutral,Neutral,Weak,Neutral,43.4%,41.7%,1.7,1.7,97%,96.7%,96.7%,96.2%,Pending,No,,1151243.4689062957,1921732.4132123545,-87.71953058,41.94112155,"(-87.71953058, 41.94112155)"
610145,Reinberg,Peter A Reinberg Elementary School,3425 N Major Ave,Chicago,IL,60634,(773) 534-3465,http://www.reinberg.cps.k12.il.us,O'Hare Elementary Network,O'Hare Elementary Network,Standard,Level 1,No,0,Scantron,Above Average,57.4%,52.1%,54.4%,49.3%,65.1%,56.8%,55.2%,55.8%,76.1%,61.8%,53.6%,53.1%,58.2%,50.9%,59.1%,Average,48.7%,41.9%,54.2%,35.6%,43.5%,47.7%,45.3%,44.7%,57.5%,69.4%,51.4%,42.9%,53.6%,42.4%,52.8%,,53.5%,58.7%,53.8%,55.4%,54.2%,,58.7%,59.8%,48.4%,66.7%,59.8%,Moderately Organized,Weak,Neutral,Strong,Neutral,Neutral,Neutral,58.9%,41%,1.5,4.2,95.8%,95.3%,95.7%,95.9%,No,No,,1137794.9197513505,1922326.0208592485,-87.76894541,41.94300407,"(-87.76894541, 41.94300407)"
610146,Revere,Paul Revere Elementary School,1010 E 72nd St,Chicago,IL,60619,(773) 535-0618,http://www.paulreverees.org,Skyway Elementary Network,Skyway Elementary Network,Track E,Level 3,Yes,6,Scantron,Above Average,56.3%,32%,45.7%,42.9%,40%,71.4%,69%,51.6%,64.3%,80%,47.1%,36.4%,64.3%,65.9%,61.2%,Far Below Average,23.9%,16.7%,12.8%,16.7%,13.3%,34.4%,40.5%,22.8%,33.3%,40%,25%,6.7%,21.9%,19.5%,25%,51.6%,,,,,51.4%,61.2%,,,,,60.7%,Moderately Organized,Not Enough Data,Neutral,Neutral,Not Enough Data,Not Enough Data,Weak,68.9%,36%,2.9,2.7,92.4%,91.7%,94.6%,94.6%,No,No,,1184267.268114673,1857526.2384102945,-87.60017165,41.76422335,"(-87.60017165, 41.76422335)"
610147,Rogers,Philip Rogers Elementary School,7345 N Washtenaw Ave,Chicago,IL,60645,(773) 534-2125,http://www.philiprogersschool.org,Ravenswood-Ridge Elementary Network,Ravenswood-Ridge Elementary Network,Standard,Level 2,No,0,Scantron,Above Average,59.6%,51.4%,65.3%,49.2%,53.3%,50%,69%,56.4%,69.9%,70.4%,41.8%,55%,77.4%,63.2%,62.7%,Above Average,60.4%,51.3%,56.2%,50%,50%,55.6%,76.3%,56.1%,56%,65.8%,51.4%,60.9%,72.7%,86.4%,64.6%,61.1%,49.7%,65.8%,50%,57.4%,56.1%,56.4%,61.5%,58.2%,59.5%,71%,64.8%,Well-organized,Strong,Neutral,Neutral,Strong,Strong,Strong,100%,89.5%,2.1,2.1,96.4%,95.2%,95.1%,95.3%,No,No,,1157132.163710222,1948795.4737713926,-87.69714858,42.01526618,"(-87.69714858, 42.01526618)"
610148,Chavez,Cesar E Chavez Multicultural Academic Center ES,4747 S Marshfield Ave,Chicago,IL,60609,(773) 535-4600,http://www.chavez.cps.k12.il.us,Pershing Elementary Network,Pershing Elementary Network,Track E,Level 1,No,0,NWEA,Far Above Average,76.5%,70.6%,77.2%,84.2%,53.8%,68.5%,79.3%,72.4%,62.8%,88.7%,87%,87.9%,67.3%,93.1%,80.4%,Average,54.9%,40.7%,47.7%,39.7%,34.3%,40.7%,62.7%,43.7%,50%,68.1%,70.5%,64.7%,69.5%,79.7%,65.9%,,72.4%,,,73.3%,72.4%,,80.3%,,,80.8%,80.4%,Well-organized,Strong,Strong,Neutral,Strong,Very Strong,Neutral,31.9%,45.6%,2.7,2,95.1%,94.8%,96.1%,95.3%,No,No,,1166186.662350716,1873024.0793763814,-87.66600055,41.80715514,"(-87.66600055, 41.80715514)"
610150,Ross,Betsy Ross Elementary School,6059 S Wabash Ave,Chicago,IL,60637,(773) 535-0650,,Burnham Park Elementary Network,Burnham Park Elementary Network,Standard,Level 3,Yes,17,Scantron,Average,49.3%,29.7%,38.7%,48%,67.7%,53.3%,65.5%,49.7%,27.8%,41.9%,60.9%,54.8%,56.7%,58.6%,48.9%,Far Below Average,20.6%,9.5%,11.8%,13.3%,17.6%,31.4%,35.5%,19.4%,2.4%,14.7%,23.3%,20.6%,37.1%,38.7%,21.8%,50%,,,,,49.7%,48.6%,,,,,48.9%,Organized,Weak,Strong,Neutral,Strong,Neutral,Weak,88.2%,82.1%,2.8,2.9,88.9%,88.5%,93.9%,95.3%,No,No,,1177801.9789260316,1864618.4204678216,-87.62365383,41.78383382,"(-87.62365383, 41.78383382)"
610152,Ruggles,Martha Ruggles Elementary School,7831 S Prairie Ave,Chicago,IL,60619,(773) 535-3085,,Skyway Elementary Network,Skyway Elementary Network,Track E,Level 2,No,0,Scantron,Average,54%,48.8%,62.8%,64.1%,60.5%,55.1%,62.2%,58.6%,61.9%,60.5%,57.5%,38.5%,40.4%,36.8%,49.4%,Far Below Average,28.3%,27.7%,20%,24.4%,40.5%,24.5%,47.4%,30%,25.5%,44.4%,33.3%,11.9%,16%,28.9%,26.6%,59.1%,,,36.8%,,58.3%,49.8%,,,39.5%,,50%,Partially Organized,Neutral,Weak,Neutral,Weak,Neutral,Weak,85.3%,74%,1.2,1.9,93.9%,93.2%,96.7%,97.4%,No,No,,1179432.459827287,1853011.922057493,-87.61802983,41.75194729,"(-87.61802983, 41.75194729)"
610153,Ryder,William H Ryder Math & Science Specialty ES,8716 S Wallace St,Chicago,IL,60620,(773) 535-3843,,Englewood-Gresham Elementary Network,Englewood-Gresham Elementary Network,Track E,Level 3,Yes,5,Scantron,Above Average,55.8%,35%,60.9%,45.5%,37.5%,42.3%,64%,47.9%,69.6%,87%,56.5%,66.7%,54.2%,48%,63.4%,Below Average,32.8%,27.3%,23.1%,18.2%,0%,34.6%,36%,22.7%,33.3%,61.5%,52.2%,35.7%,38.5%,35.7%,42.6%,48.1%,,,,,46.6%,64%,,,53.3%,,63%,Well-organized,Strong,Not Enough Data,Not Enough Data,Strong,Strong,Not Enough Data,86.3%,54.5%,2.7,2.4,93%,92.7%,94.3%,93.5%,No,No,,1173792.1298956117,1846923.8555994579,-87.63887904,41.73536767,"(-87.63887904, 41.73536767)"
610154,Ryerson,Martin A Ryerson Elementary School,646 N Lawndale Ave,Chicago,IL,60624,(773) 534-6700,http://www.ryersonschool.org,Garfield-Humboldt Elementary Network,Garfield-Humboldt Elementary Network,Track E,Level 2,No,0,Scantron,Above Average,66.3%,58%,72.2%,71.1%,69.8%,60.5%,58.1%,64.9%,64.7%,91.2%,69.8%,68.2%,62.2%,48%,67.8%,Below Average,44%,36.5%,42.1%,22.9%,27.3%,25%,34.4%,31%,32.7%,63.2%,54.3%,55.6%,78.3%,69.2%,57.3%,64.5%,,,64.1%,,64.9%,67.8%,,,76.9%,,67.8%,Partially Organized,Weak,Neutral,Weak,Neutral,Neutral,Weak,33%,33.3%,1.9,3.1,95.5%,94.8%,96.8%,96.6%,No,No,,1151558.258506361,1904275.2826861052,-87.71883334,41.89321142,"(-87.71883334, 41.89321142)"
610169,Sexton,Austin O Sexton Elementary School,6020 S Langley Ave,Chicago,IL,60637,(773) 535-0640,,Burnham Park Elementary Network,Burnham Park Elementary Network,Standard,Level 2,Yes,6,Scantron,Average,46.3%,,35.3%,15%,43.5%,56.7%,34.5%,38.2%,,45.5%,58.8%,54.5%,71.4%,49.1%,54.5%,Far Below Average,24.8%,,10.8%,11.5%,24%,13.5%,30.2%,20.2%,,13.5%,16.7%,32%,43.2%,35.5%,29.5%,38.5%,,,,,38.2%,54.6%,,,,,54.5%,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,76.9%,58.3%,3.7,3.3,90.5%,90.4%,94.1%,93.9%,No,No,,1181884.6595802158,1865139.7606231028,-87.60866927,41.78517099,"(-87.60866927, 41.78517099)"
610155,Sauganash,Sauganash Elementary School,6040 N Kilpatrick Ave,Chicago,IL,60646,(773) 534-3470,http://www.sauganash.cps.k12.il.us,O'Hare Elementary Network,O'Hare Elementary Network,Standard,Level 1,No,0,NWEA,Above Average,64.3%,64.8%,56.1%,65.5%,51.1%,63%,50%,58.9%,77.5%,42.4%,71.9%,72.3%,83.3%,75%,69.7%,Far Above Average,73.8%,71.8%,73.1%,76.3%,77.1%,80%,71.2%,74.7%,78.9%,56.7%,65.5%,72.9%,80%,86.5%,72.9%,,69%,55.8%,52.3%,,58.6%,,72.1%,68.6%,79.5%,,78.4%,Well-organized,Very Strong,Very Strong,Strong,Strong,Strong,Very Strong,16.7%,,1,,96.3%,96.8%,95.4%,95%,No,No,,1143919.3916490162,1939921.0306548323,-87.74599137,41.99117332,"(-87.74599137, 41.99117332)"
610156,"Armstrong, L",Louis Armstrong Math & Science Elementary School,5345 W Congress Pkwy,Chicago,IL,60644,(773) 534-6365,http://www.larmstrong.cps.k12.il.us,Austin-North Lawndale Elementary Network,Austin-North Lawndale Elementary Network,Track E,Level 2,Yes,6,Scantron,Average,53.2%,,58.1%,51.6%,47.8%,,,52.7%,,35.5%,45.2%,82.6%,,,53.8%,Far Below Average,26.8%,23.1%,23.5%,18.2%,34.8%,,,24.3%,58.3%,17.6%,24.2%,39.1%,,,29.4%,51.6%,,,,,52.7%,53.8%,,,,,53.8%,Well-organized,Strong,Very Strong,Strong,Strong,Strong,Weak,79.4%,48.1%,1.4,1.2,92.6%,95.5%,97.9%,95.9%,No,No,,1140614.2512589288,1897119.2568838035,-87.75920297,41.87378243,"(-87.75920297, 41.87378243)"
610157,Sawyer,Sidney Sawyer Elementary School,5248 S Sawyer Ave,Chicago,IL,60632,(773) 535-0440,http://www.sawyer.cps.k12.il.us,Midway Elementary Network,Midway Elementary Network,Standard,Level 1,No,0,NWEA,Above Average,60.7%,49.5%,59.2%,65.4%,57.8%,60.8%,52.9%,57.7%,67%,73.5%,54.1%,53.6%,66.1%,69.2%,63.7%,Below Average,41.1%,39%,43.2%,44.7%,37.1%,48.9%,50.6%,43.6%,38.1%,45.7%,37%,32.2%,37.7%,42.3%,38.7%,,57.6%,,34.9%,51.4%,57.5%,,63.9%,,52.3%,66.7%,63.7%,Organized,Strong,Neutral,Neutral,Neutral,Neutral,Neutral,100%,76.6%,2.2,3.2,96.8%,96.7%,96.4%,96.3%,No,No,,1155567.9962711532,1869433.4271845564,-87.70504311,41.79752155,"(-87.70504311, 41.79752155)"
610158,Sayre,Harriet E Sayre Elementary Language Academy,1850 N Newland Ave,Chicago,IL,60707,(773) 534-3351,http://www.sayre.cps.k12.il.us,Austin-North Lawndale Elementary Network,Austin-North Lawndale Elementary Network,Standard,Level 2,No,0,NWEA,Above Average,63.5%,62.9%,52.1%,56.8%,54.2%,66.7%,58.1%,58.9%,80.6%,70.8%,44.3%,50.8%,80.3%,79%,67.9%,Average,49.3%,52.9%,61.2%,44.4%,56.5%,50.7%,63.5%,54.6%,57.4%,44.9%,25.4%,33.9%,46.3%,55.6%,44.1%,61.2%,56.5%,48.6%,54.5%,,55.5%,69.8%,64.4%,73%,67.3%,,66.7%,Moderately Organized,Not Enough Data,Neutral,Neutral,Not Enough Data,Not Enough Data,Very Strong,75%,35.6%,2.1,2.3,96.2%,96.3%,96.6%,97.8%,No,No,,1129750.1866580658,1911749.9588515982,-87.79875667,41.9141236,"(-87.79875667, 41.9141236)"
610159,Scammon,Jonathan Y Scammon Elementary School,4201 W Henderson St,Chicago,IL,60641,(773) 534-3475,http://www.scammonschool.com,O'Hare Elementary Network,O'Hare Elementary Network,Track E,Level 1,No,0,Scantron,Above Average,66.4%,66.2%,51.5%,71.3%,73%,71.3%,70.5%,66.6%,78.6%,55.3%,70.7%,39.2%,76.6%,77.8%,66.3%,Below Average,44.8%,42.9%,33.3%,31.3%,40.8%,51%,50%,41.5%,40.3%,51.4%,52.9%,28.9%,44.9%,67.9%,48.2%,,65.7%,68.8%,56.7%,64.8%,66%,,66.1%,60.6%,62.5%,64.1%,65.4%,Partially Organized,Not Enough Data,Weak,Weak,Not Enough Data,Not Enough Data,Neutral,20.7%,26.8%,3.4,3.8,95.9%,95.9%,95.3%,95.4%,No,No,,1147787.324853329,1921900.2963743692,-87.73222901,41.94164944,"(-87.73222901, 41.94164944)"
610160,Songhai,Songhai Elementary Learning Institute,11725 S Perry Ave,Chicago,IL,60628,(773) 535-5547,http://www.songhailearninginstitute.org/,Lake Calumet Elementary Network,Lake Calumet Elementary Network,Track E,Level 3,Yes,5,Scantron,Average,54.6%,58.1%,53.1%,59.4%,32%,66.7%,67.7%,56.9%,51.5%,46.9%,53.1%,39.3%,60%,63.3%,52.4%,Far Below Average,24.3%,21.2%,15.2%,17.6%,11.1%,29.4%,39.4%,22.7%,17.1%,21.2%,30.3%,13.8%,41.2%,30.3%,25.9%,56.2%,,,,,57.2%,52.2%,,,,,52.7%,Partially Organized,Weak,Neutral,Neutral,Neutral,Neutral,Weak,34.3%,74%,2.5,2.1,89.5%,90.7%,95.4%,94.7%,Yes,No,,1177727.8686603103,1827095.66044842,-87.62505762,41.68086831,"(-87.62505762, 41.68086831)"
610161,Bontemps,Arna Wendell Bontemps Elementary School,1241 W 58th St,Chicago,IL,60636,(773) 535-9175,,Englewood-Gresham Elementary Network,Englewood-Gresham Elementary Network,Track E,Level 3,Yes,9,Scantron,Below Average,44.1%,57.1%,33.3%,58.8%,51.7%,45%,46.4%,49.4%,62.1%,33.3%,53.3%,32%,15.4%,30.8%,38.7%,Far Below Average,23.3%,13.3%,19.4%,28.6%,13.8%,25%,21.4%,20.2%,22.6%,22.6%,48.4%,32%,7.7%,23.1%,26.5%,49.4%,,,,,49.1%,38.7%,,,,,39.1%,Not Yet Organized,Weak,Weak,Weak,Weak,Weak,Weak,79.1%,83.3%,3.3,3,94.2%,91.4%,95.8%,97.2%,No,No,,1168872.4212967667,1866273.4436779586,-87.65634499,41.78857298,"(-87.65634499, 41.78857298)"
610165,Schubert,Franz Peter Schubert Elementary School,2727 N Long Ave,Chicago,IL,60639,(773) 534-3080,http://www.schubert.cps.k12.il.us,Fullerton Elementary Network,Fullerton Elementary Network,Track E,Level 2,Yes,3,Scantron,Average,48.1%,48.1%,36.3%,47.6%,,,,44.1%,55.8%,51.4%,48.1%,,,,51.9%,Below Average,38.1%,34.6%,30%,22.7%,,,,29.1%,41.5%,50%,49.1%,,,,46.7%,,44.4%,,,45.6%,43.9%,,51%,,,50%,51.7%,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,61.9%,23.1%,1.4,1.7,95.8%,94.4%,97%,96.7%,No,No,,1139945.570972114,1917742.0023363447,-87.76115305,41.93038593,"(-87.76115305, 41.93038593)"
610167,Seward,William H Seward Communication Arts Academy ES,4600 S Hermitage Ave,Chicago,IL,60609,(773) 535-4890,http://www.seward.cps.k12.il.us,Pershing Elementary Network,Pershing Elementary Network,Standard,Level 2,No,0,NWEA,Above Average,67.8%,54.8%,67.4%,80.2%,62%,56.3%,81.8%,66.7%,55.3%,66.7%,69.1%,71.6%,70.8%,82.7%,68.9%,Below Average,38.9%,24.4%,33.7%,43.4%,38.4%,33.8%,53.6%,36.9%,31.4%,31.2%,37.3%,39.5%,44.6%,64.5%,40.7%,,67%,,,68.3%,66.6%,,69.1%,,,59%,69.1%,Organized,Neutral,Neutral,Neutral,Strong,Strong,Neutral,24.5%,18.2%,5,3.9,95.7%,95.1%,95.7%,95.5%,No,No,,1165412.464864745,1874162.7768594883,-87.66880778,41.81029632,"(-87.66880778, 41.81029632)"
